INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,BORO,PRECINCT,JURISDICTION_CODE,LOCATION_DESC,STATISTICAL_MURDER_FLAG,PERP_AGE_GROUP,PERP_SEX,PERP_RACE,VIC_AGE_GROUP,VIC_SEX,VIC_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Shooting
206316192,12/11/2019,4:00:00,BROOKLYN,60,2,MULTI DWELL - PUBLIC HOUS,TRUE,,,,25-44,M,BLACK,"987,061","148,773",40.57503125,-73.98988267,1
206311808,12/10/2019,23:32:00,STATEN ISLAND,122,0,,FALSE,25-44,F,WHITE,18-24,M,WHITE,"953,155","145,282",40.56539505,-74.11191815,1
206311808,12/10/2019,23:32:00,STATEN ISLAND,122,0,,FALSE,18-24,F,WHITE HISPANIC,18-24,M,WHITE,"953,155","145,282",40.56539505,-74.11191815,1
206311808,12/10/2019,23:32:00,STATEN ISLAND,122,0,,FALSE,18-24,M,BLACK HISPANIC,18-24,M,WHITE,"953,155","145,282",40.56539505,-74.11191815,1
206311807,12/10/2019,21:36:00,BRONX,48,0,,FALSE,,,,25-44,M,BLACK,"1,015,119","247,835",40.8468792,-73.88842802,1
206311359,12/10/2019,20:35:00,STATEN ISLAND,120,0,,TRUE,,,,25-44,M,WHITE HISPANIC,"961,472","164,727",40.61879293,-74.08204929,1
206196589,12/8/2019,23:16:00,BRONX,47,0,,FALSE,25-44,M,BLACK,45-64,M,BLACK HISPANIC,"1,031,078","262,785",40.88784211,-73.83064119,1
206195058,12/7/2019,22:40:00,BROOKLYN,70,0,MULTI DWELL - APT BUILD,TRUE,18-24,M,BLACK,18-24,M,BLACK,"995,294","176,595",40.65139047,-73.9602008,1
206195057,12/7/2019,0:41:00,BRONX,40,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,"1,005,530","233,943",40.80877794,-73.9231307,1
206195060,12/7/2019,0:23:00,QUEENS,115,0,,FALSE,18-24,M,WHITE HISPANIC,18-24,M,WHITE HISPANIC,"1,022,420","212,522",40.7499262,-73.86223992,1
206367551,12/6/2019,23:30:00,BRONX,47,0,,FALSE,25-44,M,BLACK,45-64,M,BLACK,"1,026,179","261,966",40.88561886,-73.84836422,1
206196588,12/6/2019,23:00:00,BROOKLYN,77,0,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,BLACK,"1,003,812","183,893",40.67140715,-73.92948225,1
206195056,12/6/2019,17:40:00,BROOKLYN,75,0,PVT HOUSE,FALSE,25-44,M,UNKNOWN,18-24,M,BLACK,"1,018,637","182,648",40.66794474,-73.87604591,1
206090803,12/5/2019,14:15:00,BRONX,42,0,,FALSE,18-24,M,BLACK,65+,M,BLACK,"1,008,051","239,452",40.82389217,-73.91400444,1
206090803,12/5/2019,14:15:00,BRONX,42,0,,FALSE,18-24,M,WHITE HISPANIC,65+,M,BLACK,"1,008,051","239,452",40.82389217,-73.91400444,1
206032523,12/4/2019,23:12:00,BROOKLYN,67,0,MULTI DWELL - APT BUILD,FALSE,,,,45-64,F,BLACK,"999,390","177,145",40.65289405,-73.9454383,1
206032524,12/4/2019,3:30:00,QUEENS,110,0,,FALSE,,,,25-44,M,WHITE,"1,015,799","208,304",40.73837495,-73.88615591,1
205974389,12/3/2019,20:45:00,BRONX,48,0,,FALSE,,,,18-24,M,BLACK,"1,014,808","247,020",40.84464334,-73.88955582,1
205974388,12/3/2019,14:28:00,BROOKLYN,67,0,,FALSE,,,,25-44,M,BLACK,"1,002,321","172,248",40.63944735,-73.93488837,1
205908101,12/2/2019,15:52:00,BROOKLYN,73,0,,FALSE,,,,18-24,M,BLACK,"1,006,612","185,285",40.67522125,-73.9193839,1
205908100,12/2/2019,11:50:00,BROOKLYN,67,0,,FALSE,25-44,F,BLACK,25-44,M,BLACK,"1,004,359","173,694",40.64341191,-73.92754078,1
205862276,12/1/2019,22:10:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,BLACK,"1,005,569","186,646",40.67895946,-73.92313973,1
205862274,12/1/2019,21:10:00,BROOKLYN,81,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,004,788","190,873",40.69056345,-73.92594259,1
205862271,12/1/2019,3:32:00,STATEN ISLAND,123,0,,FALSE,25-44,M,WHITE,25-44,M,WHITE,"935,099","136,277",40.54059639,-74.1768395,1
205862275,12/1/2019,1:07:00,QUEENS,114,0,,FALSE,,,,18-24,M,BLACK,"1,000,151","215,230",40.75742705,-73.9426058,1
205862270,11/30/2019,23:01:00,BRONX,46,0,,TRUE,18-24,M,BLACK,25-44,M,BLACK,"1,005,694","247,184",40.84512031,-73.92249596,1
205862273,11/29/2019,18:17:00,BROOKLYN,84,0,,FALSE,,,,18-24,M,BLACK,"988,902","192,641",40.69543881,-73.98322538,1
205862272,11/29/2019,14:07:00,BRONX,42,0,,FALSE,,,,25-44,M,WHITE HISPANIC,"1,011,977","240,173",40.82585966,-73.89981618,1
205771022,11/28/2019,8:52:00,BROOKLYN,75,0,,FALSE,,,,25-44,M,BLACK,"1,016,655","182,656",40.66797417,-73.88319042,1
205771021,11/28/2019,4:12:00,BRONX,50,0,FAST FOOD,FALSE,,,,25-44,M,BLACK,"1,010,272","258,954",40.8774131,-73.90590391,1
205748549,11/27/2019,23:55:00,QUEENS,113,0,,FALSE,25-44,M,BLACK,18-24,M,BLACK,"1,046,624","184,398",40.67259515,-73.77514475,1
205748550,11/27/2019,23:30:00,BRONX,45,0,,FALSE,18-24,M,BLACK,18-24,F,WHITE HISPANIC,"1,032,140","242,004",40.83079891,-73.8269488,1
205748550,11/27/2019,23:30:00,BRONX,45,0,,FALSE,18-24,M,BLACK,18-24,M,WHITE HISPANIC,"1,032,140","242,004",40.83079891,-73.8269488,1
205748548,11/27/2019,22:24:00,BRONX,41,0,,FALSE,18-24,M,WHITE HISPANIC,18-24,M,BLACK,"1,013,879","239,551",40.82414627,-73.89294648,1
205748548,11/27/2019,22:24:00,BRONX,41,0,,FALSE,18-24,M,WHITE HISPANIC,25-44,M,BLACK,"1,013,879","239,551",40.82414627,-73.89294648,1
205748546,11/27/2019,15:54:00,BRONX,40,0,,FALSE,<18,M,BLACK,18-24,F,BLACK,"1,006,789","237,559",40.81869973,-73.91857062,1
205748546,11/27/2019,15:54:00,BRONX,40,0,,FALSE,<18,M,BLACK,25-44,F,BLACK,"1,006,789","237,559",40.81869973,-73.91857062,1
205748546,11/27/2019,15:54:00,BRONX,40,0,,FALSE,<18,M,BLACK,18-24,M,BLACK,"1,006,789","237,559",40.81869973,-73.91857062,1
205748546,11/27/2019,15:54:00,BRONX,40,0,,FALSE,<18,M,BLACK,<18,M,BLACK,"1,006,789","237,559",40.81869973,-73.91857062,1
205719913,11/27/2019,0:45:00,BRONX,47,0,,FALSE,,,,25-44,M,BLACK,"1,022,778","262,631",40.88745957,-73.86066018,1
205705081,11/26/2019,20:19:00,BROOKLYN,81,2,MULTI DWELL - PUBLIC HOUS,FALSE,18-24,M,BLACK,<18,M,BLACK,"1,002,012","189,767",40.68753374,-73.9359556,1
205645837,11/25/2019,22:00:00,QUEENS,114,0,,FALSE,,,,<18,M,BLACK,"1,002,895","220,799",40.77270716,-73.93268572,1
205599330,11/23/2019,3:20:00,BROOKLYN,69,0,,FALSE,,,,18-24,F,BLACK,"1,008,613","174,584",40.64584409,-73.91220874,1
205599330,11/23/2019,3:20:00,BROOKLYN,69,0,,FALSE,,,,18-24,M,BLACK,"1,008,613","174,584",40.64584409,-73.91220874,1
205493216,11/21/2019,18:32:00,BRONX,49,0,,FALSE,,,,18-24,F,BLACK,"1,026,424","251,705",40.85745442,-73.84754276,1
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,FALSE,,,,18-24,M,BLACK,"1,007,188","243,233",40.83427221,-73.91710968,1
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,TRUE,,,,18-24,M,BLACK,"1,007,188","243,233",40.83427221,-73.91710968,1
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,FALSE,,,,25-44,M,BLACK,"1,007,188","243,233",40.83427221,-73.91710968,1
205437642,11/20/2019,23:11:00,BRONX,44,0,COMMERCIAL BLDG,TRUE,,,,25-44,M,BLACK,"1,007,188","243,233",40.83427221,-73.91710968,1
205437643,11/20/2019,17:58:00,STATEN ISLAND,122,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,25-44,M,BLACK,"956,246","153,097",40.58685598,-74.10082545,1
205437641,11/20/2019,14:56:00,BROOKLYN,81,0,,FALSE,,,,25-44,M,BLACK,"1,004,925","187,027",40.68000674,-73.92546038,1
205332522,11/19/2019,8:45:00,BROOKLYN,75,0,,TRUE,,,,25-44,M,BLACK HISPANIC,"1,013,590","181,763",40.66553377,-73.89424277,1
205280615,11/17/2019,21:12:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,M,BLACK,18-24,M,BLACK,"1,020,891","236,726",40.81636615,-73.86762631,1
205280615,11/17/2019,21:12:00,BRONX,43,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,18-24,M,BLACK,"1,020,891","236,726",40.81636615,-73.86762631,1
205280613,11/17/2019,14:45:00,MANHATTAN,23,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,<18,M,BLACK HISPANIC,"1,000,102","229,680",40.79708858,-73.94274858,1
205280617,11/17/2019,2:27:00,BROOKLYN,72,0,,FALSE,25-44,M,WHITE HISPANIC,25-44,M,WHITE HISPANIC,"978,440","174,981",40.64696537,-74.02093828,1
205280612,11/16/2019,3:44:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,TRUE,25-44,M,BLACK,25-44,M,BLACK,"995,728","190,315",40.68904826,-73.95861338,1
205280238,11/15/2019,20:22:00,BRONX,46,0,,TRUE,<18,M,BLACK,25-44,M,BLACK,"1,006,957","248,723",40.84934125,-73.91792586,1
205280614,11/15/2019,0:17:00,BRONX,42,0,,FALSE,<18,M,BLACK,18-24,M,BLACK,"1,010,207","241,776",40.83026481,-73.90620547,1
205177555,11/14/2019,21:01:00,MANHATTAN,34,0,,TRUE,25-44,M,WHITE HISPANIC,18-24,M,BLACK HISPANIC,"1,004,637","253,426",40.86225524,-73.92629731,1
205177556,11/14/2019,0:59:00,BRONX,44,0,,FALSE,,,,18-24,M,WHITE HISPANIC,"1,004,530","242,729",40.83289538,-73.9267165,1
205177554,11/14/2019,0:12:00,MANHATTAN,25,0,,FALSE,25-44,M,BLACK HISPANIC,25-44,M,WHITE HISPANIC,"1,001,927","234,115",40.80925798,-73.93614553,1
205124101,11/13/2019,20:35:00,BROOKLYN,69,0,,FALSE,,,,18-24,M,BLACK,"1,014,941","171,832",40.63827078,-73.88941816,1
205124100,11/13/2019,0:08:00,BRONX,43,0,,FALSE,18-24,M,BLACK,25-44,M,BLACK HISPANIC,"1,018,876","241,924",40.8306413,-73.87487919,1
205065107,11/12/2019,2:24:00,BRONX,44,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK HISPANIC,"1,007,174","239,543",40.82414426,-73.91717288,1
204971621,11/10/2019,22:34:00,BRONX,44,0,,FALSE,,,,25-44,M,BLACK,"1,008,249","242,113",40.83119532,-73.91327952,1
204971620,11/10/2019,19:30:00,BROOKLYN,71,0,SHOE STORE,FALSE,18-24,M,BLACK,<18,M,BLACK,"999,380","181,277",40.6642355,-73.94546507,1
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,18-24,F,BLACK,"1,004,514","165,224",40.6201632,-73.92700769,1
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,18-24,F,BLACK,"1,004,514","165,224",40.6201632,-73.92700769,1
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,004,514","165,224",40.6201632,-73.92700769,1
204971625,11/10/2019,14:03:00,BROOKLYN,63,0,MULTI DWELL - APT BUILD,TRUE,25-44,M,BLACK,25-44,M,BLACK,"1,004,514","165,224",40.6201632,-73.92700769,1
204971623,11/10/2019,6:50:00,MANHATTAN,19,0,,FALSE,,,,25-44,M,WHITE HISPANIC,"996,700","217,648",40.76406938,-73.95505792,1
204971624,11/10/2019,2:48:00,MANHATTAN,34,0,,FALSE,25-44,M,BLACK,25-44,F,BLACK,"1,004,258","254,745",40.86587636,-73.92766355,1
204971624,11/10/2019,2:48:00,MANHATTAN,34,0,,FALSE,25-44,M,BLACK,18-24,M,BLACK,"1,004,258","254,745",40.86587636,-73.92766355,1
204971624,11/10/2019,2:48:00,MANHATTAN,34,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,004,258","254,745",40.86587636,-73.92766355,1
204493622,11/6/2019,22:36:00,BRONX,49,0,,FALSE,25-44,M,BLACK,25-44,M,ASIAN / PACIFIC ISLANDER,"1,021,068","256,159",40.86970326,-73.86688016,1
204493624,11/6/2019,21:21:00,BROOKLYN,77,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,WHITE HISPANIC,"1,002,013","185,753",40.67651622,-73.93596258,1
204493625,11/6/2019,2:27:00,BROOKLYN,72,0,,FALSE,,,,25-44,M,BLACK,"985,720","182,300",40.66705621,-73.99470258,1
204493623,11/5/2019,23:30:00,QUEENS,113,0,,FALSE,,,,25-44,M,BLACK,"1,044,124","190,608",40.6896574,-73.78410197,1
204480329,11/5/2019,21:11:00,BROOKLYN,84,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,BLACK,"988,761","194,230",40.69980032,-73.98373279,1
204480329,11/5/2019,21:11:00,BROOKLYN,84,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,25-44,M,WHITE,"988,761","194,230",40.69980032,-73.98373279,1
204464564,11/4/2019,13:40:00,BRONX,40,0,,FALSE,45-64,M,BLACK,25-44,M,BLACK HISPANIC,"1,008,120","238,322",40.82079045,-73.91375915,1
204464564,11/4/2019,13:40:00,BRONX,40,0,,TRUE,45-64,M,BLACK,25-44,M,BLACK HISPANIC,"1,008,120","238,322",40.82079045,-73.91375915,1
204464564,11/4/2019,13:40:00,BRONX,40,0,,FALSE,45-64,M,BLACK,25-44,M,WHITE HISPANIC,"1,008,120","238,322",40.82079045,-73.91375915,1
204464564,11/4/2019,13:40:00,BRONX,40,0,,TRUE,45-64,M,BLACK,25-44,M,WHITE HISPANIC,"1,008,120","238,322",40.82079045,-73.91375915,1
204468719,11/4/2019,2:41:00,QUEENS,114,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,18-24,M,WHITE,"999,925","214,507",40.75544301,-73.94342325,1
204458418,11/3/2019,14:54:00,QUEENS,101,0,,FALSE,25-44,M,BLACK,25-44,M,WHITE HISPANIC,"1,050,364","156,970",40.59728424,-73.76193093,1
204458421,11/3/2019,0:26:00,BROOKLYN,88,0,,FALSE,18-24,M,BLACK,18-24,M,BLACK,"994,729","192,071",40.69386931,-73.9622129,1
204458419,11/2/2019,10:37:00,BRONX,47,0,,FALSE,25-44,M,BLACK,25-44,M,BLACK,"1,025,538","259,944",40.88007213,-73.85069488,1
204458422,11/2/2019,2:40:00,STATEN ISLAND,120,0,PVT HOUSE,FALSE,,,,25-44,M,BLACK,"962,822","174,282",40.64502275,-74.07721685,1
204458415,11/2/2019,2:09:00,MANHATTAN,23,0,,FALSE,,,,25-44,F,BLACK,"998,751","226,901",40.7894633,-73.947634,1
204458423,11/2/2019,0:42:00,BROOKLYN,79,2,MULTI DWELL - PUBLIC HOUS,FALSE,,,,45-64,M,BLACK,"997,366","192,877",40.69607808,-73.95270199,1
204458420,11/2/2019,0:24:00,BROOKLYN,90,2,MULTI DWELL - PUBLIC HOUS,TRUE,,,,25-44,M,WHITE HISPANIC,"1,000,684","198,151",40.71054843,-73.94072362,1
204458416,11/1/2019,5:00:00,BRONX,44,0,MULTI DWELL - APT BUILD,FALSE,,,,25-44,M,ASIAN / PACIFIC ISLANDER,"1,009,312","246,894",40.84431482,-73.90942044,1
204434559,10/31/2019,20:59:00,BROOKLYN,83,0,,TRUE,,,,25-44,M,BLACK,"1,009,342","190,798",40.69034586,-73.90952142,1
204434561,10/31/2019,19:03:00,BRONX,42,2,MULTI DWELL - PUBLIC HOUS,FALSE,25-44,F,BLACK,25-44,M,BLACK,"1,010,674","239,150",40.82305581,-73.9045283,1
